Tax Code,Owner Name,Owner Contact,Last Payment Date
T013427,Ashok Raj Giri,9876543210,5/26/2022
T013453,Nani Kaji Rana Magar,9876543210,3/7/2022
T013463,Narayan Bisankhey,9876543210,5/12/2020
T013583,Ramesh Bhandari,9876543210,9/1/2023
T013610,Jitendra Shrestha,9876543210,5/2/2020
T013642,Pandit Ram Shrestha,9876543210,12/5/2024
T013670,Shivakumar Pandey,9876543210,9/4/2022
T013765,Sanjit Mijar,9876543210,6/22/2024
T013801,Hem Kumari Kc,9876543210,6/13/2022
T013815,Sankhar lama,9876543210,6/20/2022
T013843,Kuber Khatri,9876543210,4/21/2023
T013866,Narayan Bisankhey,9876543210,1/4/2023
T013884,Krishna Hari Darsandhari,9876543210,12/3/2021
T013906,Krishna Ram Mijar,9876543210,4/22/2024
T013912,Bhawani Shrestha,9876543210,6/23/2024
T013929,Sukuman Baral,9876543210,2/26/2024
T013937,Krishna Prasad Acharya,9876543210,8/12/2021
T013961,Sarsawati Magar,9876543210,1/22/2021
T014019,Ranganath Acharya,9876543210,5/2/2021
T014044,Bachu Ram Khadka,9876543210,2/3/2021
T014053,Dilip Kumar Khatri,9876543210,9/13/2020
T014056,Narayan KC,9876543210,12/19/2024
T014103,Dil Kumar Rashaili,9876543210,6/15/2023
T014109,Sarsawati Magar,9876543210,1/6/2025
T014113,Janak Thapa,9876543210,11/17/2021
T014123,Ram Bahadur Khatri,9876543210,8/12/2020
T014124,Jayanti Kc,9876543210,11/18/2020
T014149,Dinesh Rana Magar,9876543210,11/29/2023
T014200,Badri Rana Magar,9876543210,10/15/2023
T014217,Durlav Thapa,9876543210,9/30/2023
T014239,Dinesh Rana Magar,9876543210,7/30/2020
T014250,Ashok Raj Giri,9876543210,12/11/2022
T014261,Nani Kaji Rana Magar,9876543210,1/31/2023
T014277,Somnath Poudel,9876543210,1/23/2022
T014308,Mukunda KC,9876543210,10/29/2023
T014334,Badri Rana Magar,9876543210,9/7/2021
T014393,Ashok Raj Giri,9876543210,7/11/2020
T014431,Raj Kumar Kc,9876543210,8/22/2022
T014448,Shyam Shrestha,9876543210,6/1/2022
T014492,Sanu Nani  Rana Magar,9876543210,3/26/2022
T014496,Vyas Acharya,9876543210,11/29/2020
T014552,Kanchi Rana,9876543210,10/4/2023
T014590,Deepak Subba,9876543210,10/12/2021
T014634,Bachu Ram Khadka,9876543210,5/25/2021
T014651,Rana Bahadur Khatri,9876543210,2/14/2021
T014939,Hari Bhakta Khatri,9876543210,5/19/2023
T013758,Jayanti Kc,9876543210,11/24/2024
T009088,Hari Bhakta Khatri,9876543210,10/30/2021
T009460,Kali Khatri,9876543210,1/11/2023
T011944,Krishna Ram Mijar,9876543210,7/27/2024
T011947,Shivakumar Pandey,9876543210,6/1/2024
T010607,Ranganath Acharya,9876543210,2/11/2024
T010955,Akur Khadka,9876543210,1/3/2024
T010982,Vyas Acharya,9876543210,2/12/2021
T011659,Tulasa Acharya,9876543210,12/21/2024
T011716,Dipak Kumar Kc,9876543210,1/21/2023
T011772,Jaya Ram Acharya,9876543210,8/24/2020
T011811,Sakuntala KC,9876543210,6/30/2021
T011835,Krishna Ram Mijar,9876543210,3/4/2024
T011836,Vyas Acharya,9876543210,11/25/2022
T011906,Makuri Khadka,9876543210,12/9/2022
T011928,Kancho Thapa,9876543210,1/20/2025
T011931,Dhan Kumari Khadka,9876543210,10/27/2021
T011935,Rana Bahadur Khatri,9876543210,10/5/2022
T012184,Narayan Bisankhey,9876543210,5/28/2024
T012225,Anil bisunkhey,9876543210,6/19/2022
T012302,Dipa Budathoki,9876543210,3/5/2022
T012340,Kedarnath Nacharye,9876543210,12/10/2024
T012367,Kishwor Khatri,9876543210,12/12/2021
T012368,Kanchi Sunar,9876543210,5/21/2024
T012393,Prakash Bhujel,9876543210,8/18/2021
T012404,Chandra Bahadur Thapa,9876543210,3/11/2021
T012467,Rita Shrestha,9876543210,10/25/2024
T012490,Hari Thapa,9876543210,9/11/2024
T012494,Chandra Khatri,9876543210,1/29/2021
T012499,Uma Kanta Upadhya Ghimire,9876543210,1/11/2023
T012533,Ghana Shyam Thapa,9876543210,12/8/2024
T012548,Ram Bhakta Thapa,9876543210,8/17/2020
T012556,Ganesh Nepali,9876543210,8/25/2022
T012558,Jagat KC,9876543210,3/15/2020
T012563,Man Bahadur Sahi,9876543210,5/27/2022
T012566,Shree Hari Thapa,9876543210,8/26/2023
T012571,Saptalaxmi Bajracharya,9876543210,2/1/2024
T012595,Dhrami Khatri,9876543210,7/26/2021
T012596,Hari Krishna Thapa,9876543210,4/25/2022
T012599,Rukmani Thapa,9876543210,10/26/2022
T012600,Deepak Thapa,9876543210,8/4/2020
T012607,Kedar Bahadur Thapa,9876543210,12/16/2024
T012658,Biakuntha Nepal,9876543210,5/30/2022
T012659,Sudarshan Nepal,9876543210,1/31/2022
T012671,Binod Sunar,9876543210,1/3/2021
T012713,Madhusudan Ghirmire,9876543210,1/14/2021
T012726,Shir Ram Ghimire,9876543210,2/18/2024
T012727,Ambika Koirala,9876543210,6/9/2024
T012731,Balbahadur Sunar,9876543210,2/1/2023
T012733,Shree Ram Ghimire,9876543210,11/22/2020
T012780,Bhawani Shrestha,9876543210,7/28/2022
T012793,Radha Ghimire,9876543210,2/21/2023
T000441,Deepak Thapa,9876543210,11/4/2021
T012797,Bhajahari Puri,9876543210,12/30/2021
T012804,Rita Dangol,9876543210,3/27/2023
T012812,Bhawani Shrestha,9876543210,10/17/2020
T012834,Sheetal Thapa,9876543210,3/4/2021
T012835,Sudha Gurung,9876543210,4/13/2022
T012866,Hari Krishna Thapa,9876543210,3/12/2020
T012949,Ram Bahadur Khatri,9876543210,6/5/2020
T012966,Kamal Bahadur Thapa,9876543210,12/15/2020
T012972,Jaya Ram Rana Jagar,9876543210,8/4/2020
T012974,Ram Bahadur Thapa,9876543210,6/19/2022
T012976,Rana Bahadur Khatri,9876543210,12/6/2022
T012998,Ram Krishna Rijal,9876543210,5/22/2020
T013007,Sanu Bhai Thapa,9876543210,9/14/2024
T013031,Rabi Bagoti,9876543210,3/2/2022
T013035,Bisnu Bahadur Thapa,9876543210,2/26/2022
T013054,Shivakumar Pandey,9876543210,4/27/2020
T013055,Jayanti Kc,9876543210,1/18/2022
T013058,Harigopal Shrestha,9876543210,5/28/2022
T013061,Gita Kc,9876543210,8/10/2023
T013110,Ram Bahadur Khatri,9876543210,4/1/2024
T013111,Mahendra Khadka,9876543210,5/28/2020
T013114,Kamal Thapa,9876543210,8/28/2022
T013119,Prem Rai,9876543210,4/28/2020
T013144,Prem Bahadur Thapa,9876543210,12/10/2023
T013180,Sarsawati Magar,9876543210,8/10/2021
T013195,Makuri Khadka,9876543210,3/5/2020
T013201,Anil bisunkhey,9876543210,10/23/2022
T013208,Bashu Acharya,9876543210,5/30/2023
T013221,Narayan KC,9876543210,8/2/2023
T013250,Ambika Koirala,9876543210,12/4/2023
T013257,Asok Aryal,9876543210,6/12/2024
T013265,Kuber Khatri,9876543210,12/2/2021
T013269,Prachandra Hari Saran Khadka,9876543210,12/29/2023
T013270,Lava Pokharel,9876543210,8/6/2020
T013279,Makuri Khadka,9876543210,7/12/2024
T013287,Ambika Prasad dhakal,9876543210,11/26/2024
T013288,Gita Kc,9876543210,10/4/2021
T013325,Rita Shrestha,9876543210,6/3/2020
T013345,Ambika Prasad Gautam,9876543210,2/15/2023
T013399,Amir Maharjhan,9876543210,2/5/2022
T013471,Sanu Khadka,9876543210,10/8/2022
T013487,Bhawani Shrestha,9876543210,7/31/2023
T013511,Ram Krishna Rijal,9876543210,2/28/2023
T013523,Somnath Poudel,9876543210,7/1/2022
T013527,Shivakumar Pandey,9876543210,5/11/2024
T013535,Janak Thapa,9876543210,5/6/2020
T013540,Devendra Thapa,9876543210,11/24/2024
T013541,Bhajahari Puri,9876543210,8/10/2024
T013542,Prem Rai,9876543210,9/28/2024
T013546,Sita Karki,9876543210,10/11/2020
T013547,Dipa Budathoki,9876543210,9/21/2021
T013553,Krishna Ram Mijar,9876543210,12/20/2020
T013554,Kali Khatri,9876543210,2/7/2021
T013559,Ram Bahadur Maharjan,9876543210,1/23/2022
T013564,Narayan KC,9876543210,4/30/2023
T013581,Ramesh KC,9876543210,1/21/2025
T013591,Ambika Sharma Khanal,9876543210,1/3/2022
T013611,Kiran Kumar Khatri,9876543210,7/24/2020
T013612,Pradip Thapa,9876543210,7/9/2020
T013614,Rita Shrestha,9876543210,11/16/2024
T013660,Ashok Raj Giri,9876543210,12/8/2024
T013671,Nani Kaji Rana Magar,9876543210,3/22/2020
T013684,Jaya Ram Rana Jagar,9876543210,1/11/2024
T013691,Rita Dangol,9876543210,4/16/2020
T013700,Niranjan.KC,9876543210,3/7/2020
T013703,Anil bisunkhey,9876543210,12/27/2022
T013706,Shivasaran Rana Magar,9876543210,5/23/2023
T013718,Ambika Sharma Khanal,9876543210,2/9/2020
T013753,Badri Rana Magar,9876543210,10/28/2022
T013783,Anil bisunkhey,9876543210,1/5/2023
T013829,Dev Chandra Kc,9876543210,8/9/2024
T013842,Sakuntala KC,9876543210,2/28/2022
T013862,Sima Aryal,9876543210,1/26/2021
T013871,Manoj Kumar Acharya,9876543210,11/8/2020
T013877,Dev Krishna Kc,9876543210,9/4/2024
T013888,Nakul Khadka,9876543210,12/27/2024
T013896,Ambika Prasad Gautam,9876543210,2/14/2022
T013922,Narayan Bisankhey,9876543210,1/1/2023
T013927,Ambika Koirala,9876543210,12/23/2020
T013932,Ambika Regmi,9876543210,11/12/2023
T013947,Ambika Prasad dhakal,9876543210,2/21/2021
T014042,Gita Kc,9876543210,1/5/2024
T013981,Rita Shrestha,9876543210,5/29/2023
T013995,Sarsawati Magar,9876543210,9/18/2021
T014003,Birendra Amatya,9876543210,1/8/2021
T014004,Anil bisunkhey,9876543210,11/27/2023
T014008,Bhawani Shrestha,9876543210,4/17/2021
T014073,Rabi Bagoti,9876543210,9/4/2020
T014083,Niraj  Upadhya,9876543210,12/17/2023
T014084,Sanu Khadka,9876543210,1/1/2022
T014086,Sankhar lama,9876543210,10/18/2021
T014094,Ambika Sharma Khanal,9876543210,12/18/2022
T014131,Dipak Kumar Kc,9876543210,1/27/2023
T014148,Sukuman Baral,9876543210,3/4/2020
T014159,Dilbahadur Shrestha,9876543210,2/20/2021
T014168,Akur Khadka,9876543210,2/25/2022
T014171,Ram Bahadur Maharjan,9876543210,3/21/2020
T014176,Sankhar lama,9876543210,7/6/2024
T014205,Rita Shrestha,9876543210,3/21/2023
T014206,Amir Maharjhan,9876543210,9/9/2023
T014207,Anil bisunkhey,9876543210,10/21/2023
T014219,Shivakumar Pandey,9876543210,7/19/2024
T014225,Rita Shrestha,9876543210,11/28/2020
T014226,Narayan KC,9876543210,1/28/2021
T014227,Ambika Prasad Gautam,9876543210,11/5/2022
T014228,Ambika Prasad Gautam,9876543210,7/22/2020
T014231,Ambika Koirala,9876543210,2/1/2020
T014233,Jaya Ram Rana Jagar,9876543210,2/15/2023
T014256,Ambika Sharma Khanal,9876543210,3/13/2021
T014262,Ram Bahadur Maharjan,9876543210,10/14/2021
T014281,Hari Bhakta Khatri,9876543210,6/17/2023
T014293,Ambika Prasad dhakal,9876543210,6/15/2020
T014685,Niranjan.KC,9876543210,5/10/2022
T014686,Hem Kumari Kc,9876543210,2/10/2020
T014719,Alaichi Maiya Shahi,9876543210,10/25/2024
T014848,Jaya Ram Acharya,9876543210,11/19/2022
T014900,Shivakumar Pandey,9876543210,11/18/2021
T014909,Ranganath Acharya,9876543210,5/31/2023
T014949,Krishna Ram Mijar,9876543210,2/24/2022
T000320,Santosh Thapamagar,9876543210,2/10/2024
T014962,Devendra Thapa,9876543210,9/26/2023
T014986,Sanjit Mijar,9876543210,10/26/2021
T015008,Makuri Khadka,9876543210,2/17/2022
T015036,Chetra Bahadur Khadka,9876543210,4/20/2023
T015044,Mukunda KC,9876543210,12/6/2020
T015053,Kuber Khatri,9876543210,10/29/2024
T015055,Kuber Khatri,9876543210,2/9/2021
T015060,Bachu Ram Khadka,9876543210,6/23/2023
T000391,Anil bisunkhey,9876543210,11/21/2020
T000780,Durga Kc,9876543210,8/7/2021
T000808,Krishna Bahadur Tiruwa,9876543210,2/17/2023
T000940,Mithu Thapa,9876543210,10/19/2021
T001110,Prem Bahadur Thapa,9876543210,5/15/2020
T001246,Ishwor Silwal,9876543210,4/16/2021
T001327,Prakash Bhujel,9876543210,5/18/2021
T001410,Sanu Khadka,9876543210,2/19/2023
T001686,Dipak Kumar Kc,9876543210,1/20/2023
T001755,Shyam Shrestha,9876543210,4/22/2020
T001825,Devendra Thapa,9876543210,8/21/2021
T001955,Narayan Bisankhey,9876543210,3/28/2024
T002194,Jaya Ram Acharya,9876543210,9/25/2024
T002372,Maina Tamang,9876543210,1/7/2024
T002457,Kedarnath Nacharye,9876543210,12/31/2022
T002497,Suman Khadka,9876543210,11/27/2020
T015113,Bashu Acharya,9876543210,7/24/2024
T015489,Ram Bahadur Maharjan,9876543210,5/1/2023
T002804,Manoj Thapa,9876543210,12/23/2024
T002842,Badri Rana Magar,9876543210,11/8/2022
T015758,Deepak Subba,9876543210,6/17/2021
T003037,Amir Maharjhan,9876543210,7/12/2021
T003875,Dil Kumar Rashaili,9876543210,6/29/2024
T004532,Anil bisunkhey,9876543210,12/24/2023
T004780,Shivakumar Pandey,9876543210,11/2/2024
T004837,Pandit Ram Shrestha,9876543210,9/9/2021
T004964,Prem Rai,9876543210,2/15/2021
T006714,Sankhar lama,9876543210,6/15/2022
T006318,Bishnu Hari Khatri,9876543210,4/4/2024
T006476,Dev Chandra Kc,9876543210,4/5/2024
T006656,Kanchi Rana,9876543210,6/8/2022
T006876,Sanu Khadka,9876543210,10/28/2021
T006900,Krishna Bahadur Thapa,9876543210,8/16/2024
T007098,Nakul Khadka,9876543210,5/18/2022
T007381,Bhajahari Puri,9876543210,8/8/2020
T007421,Kedar Khadka,9876543210,3/22/2020
T007490,Shree Hari Thapa,9876543210,4/14/2024
T007891,Hari Thapa,9876543210,12/26/2022
T008066,Akur Khadka,9876543210,10/22/2024
T008109,Ambika Koirala,9876543210,5/7/2023
T008961,Sabita Timalsina,9876543210,4/6/2022
T010099,Nakul Budhathoki,9876543210,11/1/2020
T011175,Bhawani Shrestha,9876543210,11/23/2020
T011260,Jayanti Kc,9876543210,4/23/2023
T011432,Umesh Thapa,9876543210,6/22/2021
T011645,Bhajahari Puri,9876543210,11/1/2022
T007499,Bisnu Bahadur Thapa,9876543210,10/17/2022
T011721,Kiran Kumar Khatri,9876543210,10/7/2020
T012078,Manoj Thapa,9876543210,1/13/2025
T012573,Kumar Thapa,9876543210,1/15/2025
T012856,Vyas Acharya,9876543210,4/27/2022
T012910,Puskar Acharya,9876543210,2/19/2023
T012968,Kamal Thapa,9876543210,3/11/2022
T013140,Dil Kumar Rashaili,9876543210,8/18/2020
T013445,Janaki  Joshi  Shrestha,9876543210,4/6/2021
T013500,Bharat Khadka,9876543210,6/26/2020
T013633,Dev Chandra Kc,9876543210,9/5/2020
T013840,Dipak Kumar Kc,9876543210,4/21/2024
T014951,Jagat KC,9876543210,4/14/2023
T015215,Shivasaran Rana Magar,9876543210,2/17/2020
T015379,Parlad Budhathoki,9876543210,4/6/2024
T015524,Ramesh Bhandari,9876543210,1/17/2023
T015614,Sukuman Baral,9876543210,1/10/2024
T015642,Narayan Bisankhey,9876543210,2/10/2022
T015731,Shivasaran Rana Magar,9876543210,6/5/2022
T015855,Babulal Shrestha,9876543210,11/8/2020
T015943,Mina Khadka,9876543210,11/1/2023
T009878,Gauri Budhathoki,9876543210,2/19/2023
T014615,Ambika Prasad dhakal,9876543210,3/23/2021
T016443,Jaya Ram Rana Jagar,9876543210,5/17/2022
T016552,Nakul Khadka,9876543210,1/25/2020
T000001,Ambika Koirala,9876543210,8/4/2020
T000002,Indra Bahadur Khatri,9876543210,5/14/2023
T000003,Ambika Regmi,9876543210,5/12/2024
T000004,Chandra Khatri,9876543210,1/9/2025
T000005,Ram Bahadur Khatri,9876543210,9/10/2023
T000006,Somnath Poudel,9876543210,10/7/2024
T000007,Dil Kumar Rashaili,9876543210,11/24/2024
T000008,Ambika Prasad dhakal,9876543210,6/15/2022
T000009,Sarsawati Magar,9876543210,2/9/2023
T000010,Dhan Kumari Acharya,9876543210,4/16/2021
T001679,Ambika Koirala,9876543210,1/20/2023
T000011,Ambika Prasad Gautam,9876543210,4/14/2022
T000012,Ramesh KC,9876543210,8/14/2021
T000013,Ambika Sharma Khanal,9876543210,7/16/2022
T000014,Makuri Khadka,9876543210,8/31/2024
T000015,Amir Maharjhan,9876543210,9/7/2021
T000016,Ram Krishna Rijal,9876543210,4/12/2022
T000017,Bashu Acharya,9876543210,9/22/2024
T000018,Kist Hospital,9876543210,5/14/2020
T000019,Bhajahari Puri,9876543210,3/30/2024
T000020,Dhurba Khatri,9876543210,5/9/2020
T000021,Dilip Kumar Khatri,9876543210,6/6/2022
T000022,Kanchi Kc,9876543210,1/26/2022
T000023,Nani Kaji Rana Magar,9876543210,1/20/2025
T000024,Jayanti Kc,9876543210,9/26/2024
T000025,Manoj Kumar Acharya,9876543210,8/9/2023
T000026,Narayan KC,9876543210,4/15/2023
T000027,Sima Aryal,9876543210,12/24/2023
T000028,Bharat Khadka,9876543210,9/22/2022
T000029,Puskar Acharya,9876543210,2/2/2020
T000030,Ashok Raj Giri,9876543210,11/3/2022
T000031,Dipak Kumar Kc,9876543210,9/14/2023
T000032,Ramesh Bhandari,9876543210,1/6/2025
T000033,Dipa Budathoki,9876543210,7/18/2024
T000034,Niranjan.KC,9876543210,2/8/2022
T000035,Kali Khatri,9876543210,5/11/2022
T000036,Jaya Ram Acharya,9876543210,8/22/2020
T000037,Durga Kc,9876543210,7/28/2022
T000038,Dinesh Rana Magar,9876543210,3/3/2023
T000039,Pandit Ram Shrestha,9876543210,4/8/2023
T000040,Nakul Khadka,9876543210,3/9/2023
T000041,Kiran Kumar Khatri,9876543210,10/26/2020
T000042,Shiva Bahadur Thapa,9876543210,12/8/2021
T000043,Sukuman Baral,9876543210,7/10/2023
T000044,Dev Krishna Kc,9876543210,5/24/2020
T000045,Dev Chandra Kc,9876543210,9/6/2023
T000046,Somnath Poudel,9876543210,4/1/2021
T000047,Sakuntala KC,9876543210,12/24/2023
T000048,Hem Kumari Kc,9876543210,5/1/2021
T000049,Nakul Khadka,9876543210,8/24/2020
T000050,Hem Kumari Kc,9876543210,6/16/2023
T000051,Janak Thapa,9876543210,12/23/2024
T000052,Bhawani Khatri,9876543210,2/20/2024
T000054,Rajesh Kumar Shrestha,9876543210,12/27/2024
T000055,Little Angles School,9876543210,2/18/2024
T000057,Nakul Khadka,9876543210,12/26/2024
T000058,Lava Pokharel,9876543210,8/23/2023
T000059,Ajaya Acharya,9876543210,11/26/2024
T000060,Little Angles School,9876543210,5/4/2024
T000061,Sita Karki,9876543210,8/31/2024
T000062,Jaya Ram Rana Jagar,9876543210,2/9/2022
T000063,Ram Bahadur Maharjan,9876543210,6/2/2021
T000064,Little Angles School,9876543210,10/10/2021
T000065,Rajesh Kumar Shrestha,9876543210,2/21/2022
T000066,Bhawani Shrestha,9876543210,4/5/2022
T000067,Shivakumar Pandey,9876543210,12/16/2020
T000069,Somnath Poudel,9876543210,5/27/2023
T000070,Sankhar lama,9876543210,7/30/2024
T000071,Badri Rana Magar,9876543210,12/17/2024
T000072,Narayan Das Shrestha,9876543210,10/22/2020
T000073,Surendra Bahadur Mahat,9876543210,3/17/2022
T000074,Kamal Thapa,9876543210,4/26/2022
T000075,Jayanti Kc,9876543210,9/26/2021
T000076,Little Angles School,9876543210,12/15/2023
T000078,Little Angles School,9876543210,11/11/2021
T000080,Ranganath Acharya,9876543210,2/26/2020
T000082,Devendra Thapa,9876543210,9/6/2020
T000083,Little Angles School,9876543210,12/25/2023
T000084,Shivasaran Rana Magar,9876543210,2/19/2023
T000085,Ambika Sharma Khanal,9876543210,5/5/2021
T000086,Krishna Bahadur Rajthala,9876543210,4/24/2023
T000087,Little Angles School,9876543210,11/26/2024
T000088,Gita Kc,9876543210,4/19/2020
T000089,Tulasa Acharya,9876543210,6/7/2021
T000090,Niranjan.KC,9876543210,2/2/2021
T000091,Jitendra Shrestha,9876543210,8/10/2024
T000092,Little Angles School,9876543210,11/10/2020
T000093,Somnath Poudel,9876543210,3/16/2021
T000094,Sir Maya Rajthala,9876543210,10/1/2021
T000095,Dev Chandra Kc,9876543210,6/20/2021
T000096,Shyam Shresth,9876543210,6/24/2020
T000097,Jay Ram Thapa,9876543210,5/16/2021
T000098,Jayanti Kc,9876543210,2/11/2024
T000099,Shivasaran Rana Magar,9876543210,4/28/2022
T000100,Narayan Das,9876543210,2/15/2022
T000101,Jagatman Rajthala,9876543210,10/26/2020
T000102,Ram Bahadur Khatri,9876543210,11/23/2021
T000103,Badri Rana Magar,9876543210,8/19/2022
T000104,Anil bisunkhey,9876543210,12/15/2023
T000105,Little Angles School,9876543210,3/10/2023
T000106,Narayan Kaji Shrestha,9876543210,6/13/2024
T000107,Birendra Amatya,9876543210,9/1/2022
T000108,Prachandra Hari Saran Khadka,9876543210,8/1/2023
T000109,Anil bisunkhey,9876543210,1/8/2023
T000110,Ram Badhadur Sunar,9876543210,6/19/2024
T000111,Ashok Raj Giri,9876543210,5/1/2022
T000112,Bekhalal Rajthala,9876543210,6/5/2023
T000113,Little Angles School,9876543210,8/4/2022
T000114,Pandit Ram Shrestha,9876543210,5/2/2022
T000115,Ram Bahadur Maharjan,9876543210,10/2/2023
T000116,Rajesh Kumar Shrestha,9876543210,9/14/2021
T000117,Gangalal Rajthala,9876543210,8/30/2023
T000119,Anju Shrestha,9876543210,1/8/2021
T000120,Ramesh Bhandari,9876543210,5/16/2024
T000121,Sarsawati Magar,9876543210,11/13/2023
T000123,Hari Shyam Rajthala,9876543210,2/2/2022
T000124,Akur Khadka,9876543210,6/23/2022
T000125,Rabi Bagoti,9876543210,9/5/2021
T000126,Sarsawati Magar,9876543210,6/9/2023
T000127,Dipak Kumar Kc,9876543210,10/17/2021
T000128,Narayan Gopal Rajthala,9876543210,4/28/2021
T000129,Jagatman Rajthala,9876543210,2/25/2022
T000130,Babulal Shrestha,9876543210,1/27/2023
T000131,Rita Shrestha,9876543210,2/4/2023
T000132,Janakman Shrestha,9876543210,5/25/2023
T000133,Narayan Das Shrestha,9876543210,6/8/2020
T000134,Lal Singh Rajthala,9876543210,8/6/2024
T000135,Dinesh Rana Magar,9876543210,11/10/2022
T000136,Anju Devi Shrestha,9876543210,9/12/2022
T000137,Deepak Subba,9876543210,2/20/2021
T000138,Rana Bahadur Khatri,9876543210,9/15/2020
T000139,Anju Devi Shrestha,9876543210,8/7/2022
T000140,Sanu Khadka,9876543210,7/3/2020
T000141,Prem Bahadur Rajthala,9876543210,5/7/2021
T000142,Dil Kumar Rashaili,9876543210,10/18/2023
T000143,Chetra Bahadur Khadka,9876543210,7/14/2024
T000144,Ratnalal Rajthala,9876543210,2/25/2020
T000145,Ram Bahadur Khatri,9876543210,6/8/2020
T000146,Sanu Nani  Rana Magar,9876543210,12/18/2020
T000147,Ashok Raj Giri,9876543210,6/17/2024
T000148,Mukunda KC,9876543210,6/7/2020
T000149,Kishwor Khatri,9876543210,10/24/2022
T000150,Bekhalal Rajthala,9876543210,10/19/2024
T000151,Kalu Singh Rajthala,9876543210,7/6/2022
